merchant_id,signup_date,country,plan_type,industry,churned,churn_date,recency,frequency,monetary,recency_days,segment,segment_name
M00001,2023-04-13,Australia,Basic,Food,Yes,2023-06-14,568.0,60.0,3104.35,568.0,2.0,At-Risk Merchants
M00002,2024-03-11,India,Shopify,Food,Yes,2024-06-11,207.0,51.0,5336.55,207.0,1.0,New / Fast-Growing Merchants
M00003,2023-09-28,US,Basic,Beauty,No,,2.0,53.0,2656.85,2.0,1.0,New / Fast-Growing Merchants
M00004,2023-04-17,India,Shopify,Food,No,,1.0,175.0,17345.86,1.0,0.0,High-GMV Loyal Merchants
M00005,2023-03-13,Canada,Basic,Beauty,No,,2.0,89.0,4364.08,2.0,1.0,New / Fast-Growing Merchants
M00006,2024-12-01,Australia,Basic,Home,No,,1.0,100.0,4876.47,1.0,1.0,New / Fast-Growing Merchants
M00007,2023-01-21,Australia,Basic,Fashion,Yes,2023-03-06,667.0,96.0,4583.11,667.0,2.0,At-Risk Merchants
M00008,2024-09-06,India,Basic,Food,No,,3.0,44.0,2070.09,3.0,1.0,New / Fast-Growing Merchants
M00009,2023-05-02,Australia,Shopify,Beauty,No,,11.0,64.0,6375.86,11.0,1.0,New / Fast-Growing Merchants
M00010,2024-04-11,Canada,Basic,Home,No,,1.0,158.0,7885.06,1.0,0.0,High-GMV Loyal Merchants
M00011,2023-08-03,Australia,Basic,Food,Yes,2024-05-28,222.0,121.0,6123.48,222.0,2.0,At-Risk Merchants
M00012,2023-11-27,India,Advanced,Electronics,No,,8.0,142.0,37941.45,8.0,3.0,Low-Value / Dormant Merchants
M00013,2024-04-03,Canada,Advanced,Home,No,,8.0,84.0,21992.77,8.0,0.0,High-GMV Loyal Merchants
M00014,2023-03-29,India,Basic,Food,No,,4.0,155.0,7717.82,4.0,0.0,High-GMV Loyal Merchants
M00015,2024-01-08,Australia,Basic,Home,No,,6.0,64.0,3362.83,6.0,1.0,New / Fast-Growing Merchants
M00016,2023-04-10,India,Shopify,Fashion,No,,23.0,58.0,5880.89,23.0,1.0,New / Fast-Growing Merchants
M00017,2024-10-25,India,Basic,Fashion,No,,2.0,23.0,1342.35,2.0,1.0,New / Fast-Growing Merchants
M00018,2023-05-11,US,Basic,Fashion,No,,4.0,102.0,5213.21,4.0,1.0,New / Fast-Growing Merchants
M00019,2024-10-23,Australia,Basic,Electronics,Yes,2025-03-22,-69.0,32.0,1534.6,-69.0,1.0,New / Fast-Growing Merchants
M00020,2023-11-05,Australia,Shopify,Fashion,No,,6.0,67.0,6829.85,6.0,1.0,New / Fast-Growing Merchants
M00021,2023-12-10,India,Shopify,Electronics,No,,1.0,148.0,15058.59,1.0,0.0,High-GMV Loyal Merchants
M00022,2024-05-06,US,Basic,Fashion,Yes,2024-10-07,86.0,149.0,7477.02,86.0,0.0,High-GMV Loyal Merchants
M00023,2024-02-18,Australia,Basic,Home,Yes,2024-04-13,263.0,196.0,9779.43,263.0,2.0,At-Risk Merchants
M00024,2024-01-21,Canada,Basic,Food,No,,1.0,131.0,6614.85,1.0,0.0,High-GMV Loyal Merchants
M00025,2023-07-11,India,Shopify,Food,No,,1.0,78.0,7513.36,1.0,1.0,New / Fast-Growing Merchants
M00026,2023-10-04,Australia,Basic,Fashion,No,,4.0,118.0,6027.5,4.0,0.0,High-GMV Loyal Merchants
M00027,2023-06-10,Canada,Basic,Food,No,,20.0,45.0,2280.82,20.0,1.0,New / Fast-Growing Merchants
M00028,2024-04-04,Australia,Shopify,Fashion,Yes,2025-01-25,9.0,48.0,4612.15,9.0,1.0,New / Fast-Growing Merchants
M00029,2023-11-10,Canada,Basic,Fashion,Yes,2024-01-13,354.0,159.0,8000.74,354.0,2.0,At-Risk Merchants
M00030,2023-01-22,India,Shopify,Beauty,No,,24.0,86.0,8281.57,24.0,1.0,New / Fast-Growing Merchants
M00031,2023-09-10,Australia,Basic,Beauty,Yes,2024-06-08,209.0,140.0,6925.37,209.0,0.0,High-GMV Loyal Merchants
M00032,2024-07-14,Australia,Basic,Beauty,No,,1.0,166.0,8418.09,1.0,0.0,High-GMV Loyal Merchants
M00033,2024-04-19,US,Basic,Electronics,No,,1.0,151.0,7687.83,1.0,0.0,High-GMV Loyal Merchants
M00034,2023-02-28,India,Shopify,Beauty,Yes,2024-01-19,349.0,103.0,10107.37,349.0,2.0,At-Risk Merchants
M00035,2024-05-25,Canada,Advanced,Fashion,No,,13.0,35.0,8032.48,13.0,1.0,New / Fast-Growing Merchants
M00036,2024-11-12,Australia,Shopify,Home,Yes,2025-08-23,-224.0,33.0,3473.7200000000003,-224.0,1.0,New / Fast-Growing Merchants
M00037,2024-04-20,Australia,Basic,Beauty,No,,10.0,17.0,776.75,10.0,1.0,New / Fast-Growing Merchants
M00038,2024-11-30,Canada,Shopify,Beauty,Yes,2025-04-27,-116.0,119.0,11754.19,-116.0,0.0,High-GMV Loyal Merchants
M00039,2023-07-09,India,Basic,Home,No,,2.0,51.0,2653.52,2.0,1.0,New / Fast-Growing Merchants
M00040,2024-11-17,US,Basic,Fashion,Yes,2025-07-23,-201.0,165.0,8233.53,-201.0,0.0,High-GMV Loyal Merchants
M00041,2024-07-16,US,Advanced,Electronics,No,,6.0,14.0,3355.5,6.0,1.0,New / Fast-Growing Merchants
M00042,2024-07-20,Australia,Basic,Beauty,No,,1.0,48.0,2233.36,1.0,1.0,New / Fast-Growing Merchants
M00043,2023-09-01,Canada,Basic,Home,Yes,2024-01-21,346.0,26.0,1444.07,346.0,2.0,At-Risk Merchants
M00044,2024-05-19,Australia,Basic,Fashion,No,,3.0,88.0,4061.9700000000003,3.0,1.0,New / Fast-Growing Merchants
M00045,2023-05-11,Canada,Basic,Food,Yes,2023-09-06,484.0,134.0,6717.43,484.0,2.0,At-Risk Merchants
M00046,2024-04-29,US,Basic,Electronics,No,,1.0,127.0,6706.74,1.0,0.0,High-GMV Loyal Merchants
M00047,2024-10-08,India,Shopify,Home,Yes,2025-07-03,-182.0,180.0,18381.92,-182.0,0.0,High-GMV Loyal Merchants
M00048,2023-01-21,Canada,Basic,Home,No,,8.0,144.0,7441.66,8.0,0.0,High-GMV Loyal Merchants
M00049,2023-06-16,US,Advanced,Home,No,,4.0,174.0,47351.81,4.0,3.0,Low-Value / Dormant Merchants
M00050,2023-10-01,Australia,Shopify,Beauty,No,,8.0,70.0,6589.48,8.0,1.0,New / Fast-Growing Merchants
M00051,2024-01-23,Canada,Basic,Food,Yes,2024-05-11,235.0,165.0,8481.14,235.0,2.0,At-Risk Merchants
M00052,2024-08-23,India,Basic,Electronics,No,,1.0,180.0,9286.78,1.0,0.0,High-GMV Loyal Merchants
M00053,2023-11-12,Australia,Basic,Fashion,Yes,2024-10-28,69.0,62.0,3132.6,69.0,1.0,New / Fast-Growing Merchants
M00054,2023-01-14,Australia,Shopify,Fashion,No,,7.0,85.0,8490.74,7.0,1.0,New / Fast-Growing Merchants
M00055,2023-08-30,US,Basic,Food,No,,8.0,116.0,5626.38,8.0,0.0,High-GMV Loyal Merchants
M00056,2023-12-12,Canada,Shopify,Home,Yes,2024-07-30,159.0,139.0,14185.65,159.0,0.0,High-GMV Loyal Merchants
M00057,2024-07-18,Australia,Basic,Home,No,,1.0,88.0,4433.08,1.0,1.0,New / Fast-Growing Merchants
M00058,2023-12-06,India,Shopify,Home,Yes,2024-02-19,317.0,45.0,4568.59,317.0,2.0,At-Risk Merchants
M00059,2023-04-02,Canada,Basic,Home,No,,5.0,142.0,6874.58,5.0,0.0,High-GMV Loyal Merchants
M00060,2024-01-02,India,Basic,Home,No,,2.0,145.0,7171.93,2.0,0.0,High-GMV Loyal Merchants
M00061,2024-03-30,Australia,Advanced,Food,No,,4.0,42.0,10734.18,4.0,1.0,New / Fast-Growing Merchants
M00062,2024-03-03,India,Shopify,Beauty,No,,13.0,151.0,14032.0,13.0,0.0,High-GMV Loyal Merchants
M00063,2024-05-23,US,Basic,Electronics,Yes,2025-03-01,-59.0,165.0,8170.24,-59.0,0.0,High-GMV Loyal Merchants
M00064,2023-02-04,India,Advanced,Home,No,,38.0,40.0,10921.039999999999,38.0,1.0,New / Fast-Growing Merchants
M00065,2023-07-25,Canada,Basic,Beauty,Yes,2024-04-05,272.0,146.0,7161.45,272.0,2.0,At-Risk Merchants
M00066,2023-03-22,India,Advanced,Fashion,No,,22.0,127.0,33026.14,22.0,3.0,Low-Value / Dormant Merchants
M00067,2024-07-15,India,Shopify,Food,No,,3.0,41.0,4190.04,3.0,1.0,New / Fast-Growing Merchants
M00068,2024-01-23,US,Basic,Beauty,No,,3.0,161.0,8098.12,3.0,0.0,High-GMV Loyal Merchants
M00069,2023-01-02,India,Basic,Home,Yes,2023-01-29,703.0,190.0,10292.08,703.0,2.0,At-Risk Merchants
M00070,2024-01-25,India,Basic,Home,Yes,2024-07-04,183.0,146.0,7635.53,183.0,0.0,High-GMV Loyal Merchants
M00071,2024-07-19,Australia,Basic,Home,Yes,2025-03-30,-88.0,95.0,5058.8,-88.0,1.0,New / Fast-Growing Merchants
M00072,2023-04-16,Australia,Shopify,Beauty,Yes,2023-07-28,523.0,117.0,11691.53,523.0,2.0,At-Risk Merchants
M00073,2024-04-21,Canada,Basic,Home,Yes,2024-08-08,146.0,146.0,7548.01,146.0,0.0,High-GMV Loyal Merchants
M00074,2024-12-03,Australia,Basic,Beauty,No,,1.0,199.0,9792.6,1.0,0.0,High-GMV Loyal Merchants
M00075,2024-02-06,Australia,Shopify,Home,No,,7.0,107.0,10784.23,7.0,0.0,High-GMV Loyal Merchants
M00076,2024-12-30,Australia,Advanced,Fashion,No,,0.0,0.0,0.0,,,No Orders / Not Activated
M00077,2024-07-09,Australia,Basic,Fashion,No,,1.0,168.0,8541.88,1.0,0.0,High-GMV Loyal Merchants
M00078,2023-06-11,US,Basic,Electronics,Yes,2024-05-05,243.0,126.0,5901.14,243.0,2.0,At-Risk Merchants
M00079,2023-07-21,Australia,Basic,Home,No,,3.0,129.0,6774.83,3.0,0.0,High-GMV Loyal Merchants
M00080,2023-09-27,US,Basic,Home,Yes,2024-07-30,166.0,70.0,3853.98,166.0,1.0,New / Fast-Growing Merchants
M00081,2023-09-28,US,Advanced,Beauty,No,,1.0,137.0,35036.32,1.0,3.0,Low-Value / Dormant Merchants
M00082,2024-03-31,Australia,Basic,Beauty,No,,4.0,71.0,3750.69,4.0,1.0,New / Fast-Growing Merchants
M00083,2024-04-06,India,Shopify,Home,No,,2.0,119.0,11839.35,2.0,0.0,High-GMV Loyal Merchants
M00084,2024-12-27,US,Basic,Electronics,No,,1.0,83.0,3920.25,1.0,1.0,New / Fast-Growing Merchants
M00085,2023-09-09,India,Shopify,Home,Yes,2023-10-18,441.0,45.0,4677.95,441.0,2.0,At-Risk Merchants
M00086,2024-12-02,India,Shopify,Beauty,No,,1.0,67.0,6198.93,1.0,1.0,New / Fast-Growing Merchants
M00087,2023-10-23,Australia,Shopify,Home,No,,6.0,98.0,9845.0,6.0,1.0,New / Fast-Growing Merchants
M00088,2024-12-25,Canada,Basic,Beauty,Yes,2025-10-07,-279.0,185.0,9134.77,-279.0,0.0,High-GMV Loyal Merchants
M00089,2024-12-20,Australia,Basic,Home,No,,1.0,93.0,4735.02,1.0,1.0,New / Fast-Growing Merchants
M00090,2023-12-04,Canada,Basic,Food,No,,22.0,41.0,1897.99,22.0,1.0,New / Fast-Growing Merchants
M00091,2023-02-22,Canada,Advanced,Beauty,No,,24.0,105.0,27514.03,24.0,3.0,Low-Value / Dormant Merchants
M00092,2023-08-05,Australia,Advanced,Electronics,Yes,2024-02-01,339.0,99.0,25582.32,339.0,2.0,At-Risk Merchants
