merchant_id,session_date,sessions,conversions
M00001,2023-04-13,431,6
M00001,2023-04-20,346,16
M00001,2023-04-27,143,4
M00001,2023-05-04,486,5
M00001,2023-05-11,234,11
M00001,2023-05-18,107,2
M00001,2023-05-25,90,1
M00001,2023-06-01,337,9
M00001,2023-06-08,279,6
M00002,2024-03-11,474,19
M00002,2024-03-18,166,4
M00002,2024-03-25,304,11
M00002,2024-04-01,199,4
M00002,2024-04-08,403,13
M00002,2024-04-15,22,0
M00002,2024-04-22,77,1
M00002,2024-04-29,263,7
M00002,2024-05-06,218,6
M00002,2024-05-13,128,2
M00002,2024-05-20,255,4
M00002,2024-05-27,331,16
M00002,2024-06-03,54,2
M00002,2024-06-10,306,7
M00003,2023-09-28,103,3
M00003,2023-10-05,172,8
M00003,2023-10-12,459,6
M00003,2023-10-19,123,1
M00003,2023-10-26,452,8
M00003,2023-11-02,389,5
M00003,2023-11-09,474,13
M00003,2023-11-16,315,4
M00003,2023-11-23,329,5
M00003,2023-11-30,205,5
M00003,2023-12-07,280,9
M00003,2023-12-14,22,0
M00003,2023-12-21,160,1
M00003,2023-12-28,269,6
M00003,2024-01-04,139,5
M00003,2024-01-11,308,13
M00003,2024-01-18,464,16
M00003,2024-01-25,66,2
M00003,2024-02-01,465,13
M00003,2024-02-08,443,10
M00003,2024-02-15,485,7
M00003,2024-02-22,180,8
M00003,2024-02-29,162,6
M00003,2024-03-07,88,2
M00003,2024-03-14,122,2
M00003,2024-03-21,89,2
M00003,2024-03-28,122,3
M00003,2024-04-04,298,4
M00003,2024-04-11,100,2
M00003,2024-04-18,361,12
M00003,2024-04-25,353,10
M00003,2024-05-02,90,0
M00003,2024-05-09,476,22
M00003,2024-05-16,230,7
M00003,2024-05-23,243,5
M00003,2024-05-30,224,7
M00003,2024-06-06,340,13
M00003,2024-06-13,287,8
M00003,2024-06-20,233,8
M00003,2024-06-27,84,3
M00003,2024-07-04,457,5
M00003,2024-07-11,462,21
M00003,2024-07-18,290,9
M00003,2024-07-25,483,11
M00003,2024-08-01,294,11
M00003,2024-08-08,445,19
M00003,2024-08-15,294,14
M00003,2024-08-22,357,10
M00003,2024-08-29,248,11
M00003,2024-09-05,335,11
M00003,2024-09-12,62,2
M00003,2024-09-19,354,13
M00003,2024-09-26,466,7
M00003,2024-10-03,161,3
M00003,2024-10-10,333,13
M00003,2024-10-17,281,5
M00003,2024-10-24,57,1
M00003,2024-10-31,445,7
M00003,2024-11-07,420,9
M00003,2024-11-14,300,11
M00003,2024-11-21,174,3
M00003,2024-11-28,172,5
M00003,2024-12-05,233,3
M00003,2024-12-12,400,17
M00003,2024-12-19,140,6
M00003,2024-12-26,338,11
M00004,2023-04-17,186,4
M00004,2023-04-24,244,5
M00004,2023-05-01,323,5
M00004,2023-05-08,243,5
M00004,2023-05-15,402,12
M00004,2023-05-22,455,13
M00004,2023-05-29,105,4
M00004,2023-06-05,422,10
M00004,2023-06-12,71,1
M00004,2023-06-19,39,0
M00004,2023-06-26,233,5
M00004,2023-07-03,395,4
M00004,2023-07-10,191,9
M00004,2023-07-17,343,16
M00004,2023-07-24,186,6
M00004,2023-07-31,383,5
M00004,2023-08-07,345,13
M00004,2023-08-14,368,18
M00004,2023-08-21,266,3
M00004,2023-08-28,125,5
M00004,2023-09-04,262,9
M00004,2023-09-11,475,15
M00004,2023-09-18,42,0
M00004,2023-09-25,351,8
M00004,2023-10-02,179,5
M00004,2023-10-09,355,12
M00004,2023-10-16,363,16
M00004,2023-10-23,315,5
M00004,2023-10-30,315,13
M00004,2023-11-06,391,6
M00004,2023-11-13,137,1
M00004,2023-11-20,470,21
M00004,2023-11-27,33,1
M00004,2023-12-04,318,5
M00004,2023-12-11,59,0
M00004,2023-12-18,180,2
M00004,2023-12-25,484,18
M00004,2024-01-01,255,3
M00004,2024-01-08,84,2
M00004,2024-01-15,230,7
M00004,2024-01-22,411,9
M00004,2024-01-29,328,14
M00004,2024-02-05,330,9
M00004,2024-02-12,300,14
M00004,2024-02-19,342,15
M00004,2024-02-26,391,16
M00004,2024-03-04,90,2
M00004,2024-03-11,449,12
M00004,2024-03-18,132,3
M00004,2024-03-25,104,2
M00004,2024-04-01,294,3
M00004,2024-04-08,366,14
M00004,2024-04-15,218,5
M00004,2024-04-22,235,5
M00004,2024-04-29,468,11
M00004,2024-05-06,269,6
M00004,2024-05-13,257,5
M00004,2024-05-20,205,5
M00004,2024-05-27,109,5
M00004,2024-06-03,41,0
M00004,2024-06-10,344,14
M00004,2024-06-17,362,6
M00004,2024-06-24,166,2
M00004,2024-07-01,303,6
M00004,2024-07-08,436,6
M00004,2024-07-15,238,2
M00004,2024-07-22,146,3
M00004,2024-07-29,75,1
M00004,2024-08-05,23,1
M00004,2024-08-12,23,0
M00004,2024-08-19,85,1
M00004,2024-08-26,291,11
M00004,2024-09-02,449,14
M00004,2024-09-09,227,10
M00004,2024-09-16,204,6
M00004,2024-09-23,362,12
M00004,2024-09-30,478,11
M00004,2024-10-07,411,12
M00004,2024-10-14,489,8
M00004,2024-10-21,408,8
